learning_rate,accuracy,f1_score
0.01,0.98,0.9407814407814407
0.1,0.975,0.9259768009768009
0.2,0.325,0.20184410364822736
0.3,0.3025,0.14565975440221166
0.5,0.2625,0.17929989412947803
1.0,0.0875,0.05639619883040936
1.5,0.1825,0.04824774048287319
10.0,0.265,0.040390843369677965
